Afghanistan Kabul
Albania Tirana
Algeria	Algiers
American    Samoa
Andorra Andorra la Vella
Angola	Luanda	Angola	Luanda	Portuguese
Anguilla    The Valley English
Antigua and Barbuda Saint John's
Argentina   Buenos Aires
Armenia Yerevan Hayastán
Aruba   Oranjestad
Australia   Canberra
Austria Vienna
Azerbaijan  Baku
The Bahamas Nassau
Bangladesh	Dhaka
Barbados    Bridgetown
Belarus Minsk
Belgium Brussels
Belize  Belmopan
Benin	Porto-Novo
Bermuda Hamilton
Bhutan  Thimphu
Bolivia La Paz Bolivia
Bosnia and Herzegovina  Sarajevo
Botswana    Gaborone
Brazil  Brasília
British Virgin Islands  Road TOwn
Brunei  Bandar Seri Begawan
Bulgaria    Sofia
Burkina Faso    Ouagadougou
Burma   Naypyidaw
Burundi Bujumbura
Cambodia    Phnom Penh
Cameroon    Yaoundé
Canada  Ottawa
Cape Verde  Praia
Cayman Islands  George Town
Central African Republic    Bangui
Chad    N'Djamena
Chile   Santiago
China   Beijing
Christmas Island    Flying Fish Cove
Cocos Islands   West Island
Colombia    Bogotá
Comoros Moroni
Cook Islands    Avarua
Costa Rica  San José
Côte d'Ivoire   Yamoussoukro
Croatia Zagreb
Cuba    Havana
Curaçao Willemstad
Kòrsou
Curaçao	Willemstad
Cyprus  Nicosia
Czech Republic  Prague
Česko   Praha
Democratic Republic of the Congo    Kinshasa
Denmark Copenhagen
Djibouti    Djibouti
Dominica    Roseau
Dominican Republic  Santo Domingo
East Timor  Díli
Ecuador Quito
Egypt   Cairo
El Salvador San Salvador
Eritrea Asmara
Estonia Tallinn
Ethiopia    Addis Abäba
Falkland Islands 	Stanley
Faroe Islands   Tórshavn
Fiji	Suva
Finland Helsinki
France	Paris
French Guiana   Cayenne
French Polynesia    Papeete
Gabon	Libreville
The Gambia  Banjul
Georgia Tbilisi
Germany Berlin
Ghana   Accra
Gibraltar   Gibraltar
Grenada St. George's
Guadeloupe  Basse-Terre
Guam    Hagåtña
Guatemala   Guatemala City
Guernsey    Saint Peter Port			English
Guinea  Conakry
Guinea-Bissau   Bissau
Guyana  Georgetown
Haiti   Port-au-Prince
Honduras    Tegucigalpa
Hungary Budapest
Iceland Reykjavík
Indonesia	Jakarta
Iran    Tehran
Iraq    Baghdad	Al-'Iraq
Ireland Dublin
Isle of Man Douglas	Isle of Man
Israel  Jerusalem
Italy   Rome
Jamaica	Kingston
Japan	Tokyo
Jersey  St. Helier
Jordan	Amman
Kazakhstan  Astana
Kenya   Nairobi
Kiribati    Tarawa
Kuwait	Kuwait City
Kyrgyzstan	Bishkek
Laos    Vientiane
Latvia	Riga
Lebanon Beirut
Lesotho Maseru
Liberia Monrovia
Libya   Tripoli
Liechtenstein   Vaduz
Lithuania   Vilnius
Luxembourg  Luxembourg
Macedonia	Skopje	Makedonija
Македонија	Skopje
Скопје	Macedonian
(Cyrillic script)
Madagascar	Antananarivo	Madagasikara
Madagascar	Antananarivo
Antananarivo/Tananarive	Malagasy
French
Malawi	Lilongwe			English, Chichewa
Malaysia	Kuala Lumpur	Malaysia	Kuala Lumpur	Malaysian
English
Mandarin Chinese
Tamil
Bahasa
Maldives    Malé
Mali    Bamako
Malta   Valletta
Marshall Islands	Majuro
Martinique  Fort-de-France
Mauritania	Nouakchott
Mauritius   Port Louis
Mayotte Mamoudzou
Mexico  Mexico City
Federated States of Micronesia  Palikir
Moldova Chișinău
Monaco
Montenegro  Podgorica
Montserrat  Brades Estate
Morocco	Rabat
Mozambique	Maputo
Namibia	Windhoek
Nauru   Yaren
Nepal	Kathmandu
Netherlands	Amsterdam
New Caledonia   Nouméa
New Zealand Wellington
Nicaragua   Managua
Niger   Niamey
Nigeria Abuja
Norfolk Island  Kingston
North Korea P'yŏngyang
Northern Cyprus North Nicosia
Northern Mariana Islands    Saipan
Norway	Oslo
Oslo    Norwegian
Oman	Muscat
Pakistan	Islamabad
Palau	Ngerulmud
Palestine	Jerusalem
Panama	Panama City
Papua New Guinea	Port Moresby
Paraguay	Asunción
Peru	Lima
Philippines	Manila
Pitcairn Islands    Adamstown
Poland  Warsaw
Portugal    Lisbon
Puerto Rico San Juan
Qatar	Doha
Republic of the Congo	Brazzaville
Réunion Saint-Denis
Romania	Bucharest
Russia	Moscow
Rwanda	Kigali
Sahrawi Arab Democratic Republic	El Aaiún
Saint Barthélemy    Gustavia
Saint Helena, Ascension and Tristan da Cunha    Jamestown
Saint Kitts and Nevis	Basseterre
Saint Martin    Marigot	Saint-Martin
Saint Lucia	Castries			English
Saint Pierre and Miquelon   Saint-Pierre
Saint Vincent and the Grenadines	Kingstown
Samoa	Apia
San Marino	San Marino
São Tomé and Príncipe	São Tomé
Saudi Arabia	Riyadh
Senegal	Dakar	Sénégal	Dakar
Serbia	Belgrade
Seychelles	Victoria
Sierra Leone	Freetown
Singapore	Singapore City
Sint Maarten    Philipsburg
English
Slovakia	Bratislava
Slovenia	Ljubljana
Solomon Islands
Solomon Aelan
Somaliland  Hargeisa
South Africa	Pretoria
South Korea	Seoul
South Sudan	Juba
Spain	Madrid
Sri Lanka   Sri Jayawardenapura
Suriname    Paramaribo
Svalbard    Longyearbyen
Swaziland   Mbabane
Sweden	Stockholm
Switzerland Bern
Syria   Damascus
Taiwan  Taipei
Tanzania    Dodoma
Thailand    Bangkok
Togo	Lomé
Tonga	Nukuʻalofa
Transnistria    Tiraspol
Trinidad and Tobago Port of Spain
Tunisia	Tunis
Turkey	Ankara
Turkmenistan	Ashgabat
Turks and Caicos Islands    Cockburn Town
Tuvalu  Fongafale
Uganda	Kampala
Ukraine	Kiev
United Arab Emirates	Abu Dhabi
United Kingdom	London
United States	Washington, D.C.
United States Virgin Islands
Uruguay	Montevideo
Uzbekistan	Tashkent
Vanuatu Port Vila
Vatican City
Venezuela	Caracas
Vietnam	Hanoi
Wallis and Futuna   Matâ'Utu
Yemen	Sana'a
Zambia	Lusaka			English
Zimbabwe	Harare			Shona

